iter	Logloss
0	0.5536028323
1	0.4493403755
2	0.3929299236
3	0.3532552253
4	0.3019888938
5	0.2778763565
6	0.2717731923
7	0.2614434379
8	0.2503817549
9	0.2389432599
10	0.232961547
11	0.2282127395
12	0.2186270194
13	0.2084944959
14	0.204208964
15	0.1997613055
16	0.1974184707
17	0.1955059882
18	0.1839064373
19	0.1816619635
20	0.1776079079
21	0.1723349593
22	0.1692871903
23	0.1675806983
24	0.1654073626
25	0.160718725
26	0.159698681
27	0.1586646226
28	0.156073555
29	0.1533962263
30	0.1515450917
31	0.1498649627
32	0.1487669837
33	0.1475913886
34	0.1465055794
35	0.1443133423
36	0.1415441874
37	0.1401127047
38	0.1384041083
39	0.1372651222
40	0.1361206806
41	0.1347239268
42	0.1327058625
43	0.1318170516
44	0.1318170514
45	0.1302687018
46	0.12929712
47	0.127758112
48	0.1268312811
49	0.1231908886
50	0.1213700167
51	0.1190544703
52	0.1149859721
53	0.1118092683
54	0.1081852592
55	0.1055846507
56	0.1031681188
57	0.1005739805
58	0.09900618345
59	0.09472986863
60	0.09322693333
61	0.09092342837
62	0.08850492769
63	0.08648573781
64	0.08496933667
65	0.08411250913
66	0.08119648063
67	0.07987123228
68	0.07787303911
69	0.07592482373
70	0.07307394505
71	0.07162076897
72	0.07026898136
73	0.06834104625
74	0.06701787016
75	0.06605085389
76	0.06401331354
77	0.0631905107
78	0.06241719128
79	0.06138473852
80	0.06064272017
81	0.06021892658
82	0.05929367721
83	0.0579762543
84	0.05665331147
85	0.05568282572
86	0.05446292908
87	0.05351627572
88	0.05326667376
89	0.0527080282
90	0.05138476252
91	0.05071753855
92	0.05030625921
93	0.0495966012
94	0.0483465147
95	0.0470060657
96	0.04607772931
97	0.04525850703
98	0.04460689208
99	0.04411736141
100	0.04347270693
101	0.04323385377
102	0.04276124418
103	0.04215162861
104	0.04156188717
105	0.04117195363
106	0.04047691815
107	0.04007364446
108	0.0392439361
109	0.03821982333
110	0.03772765748
111	0.03730137186
112	0.03679820435
113	0.03606809838
114	0.03536380471
115	0.0350459359
116	0.03464156183
117	0.03425441682
118	0.03419474495
119	0.03389498101
120	0.03365069849
121	0.03306731446
122	0.03291378092
123	0.03273229041
124	0.03240509287
125	0.0321332752
126	0.03163925591
127	0.03091126821
128	0.03065383286
129	0.02987123323
130	0.02924638962
131	0.0290487895
132	0.02880881362
133	0.02862386332
134	0.02835081406
135	0.02821586985
136	0.02808318157
137	0.02757638167
138	0.0274232668
139	0.0270570225
140	0.02680118108
141	0.02644749784
142	0.02599588647
143	0.02592499513
144	0.02574289764
145	0.02535324373
146	0.02506002787
147	0.02451752579
148	0.02445088231
149	0.02403128996
150	0.02386534606
151	0.0237386749
152	0.02336902266
153	0.02303254667
154	0.02261139239
155	0.02241708368
156	0.0223016182
157	0.02191609362
158	0.02162234643
159	0.02149614009
160	0.02131198587
161	0.02079896894
162	0.02058029713
163	0.02010968839
164	0.01996654031
165	0.01972987545
166	0.01944903165
167	0.01932376379
168	0.01923594108
169	0.01889245084
170	0.01871928555
171	0.01841344757
172	0.01815875423
173	0.01811939682
174	0.01803571943
175	0.01797983537
176	0.01762637679
177	0.01725771091
178	0.017164992
179	0.01699815691
180	0.01691469518
181	0.01660967355
182	0.01644439859
183	0.01618608709
184	0.01599263118
185	0.01564484459
186	0.01550520211
187	0.01545013881
188	0.01532908584
189	0.0150603828
190	0.01493540505
191	0.01484621188
192	0.0146559339
193	0.01459452073
194	0.0145187389
195	0.01448683695
196	0.01443234373
197	0.01443232632
198	0.01441981368
199	0.01421612508
